TransactionID,TransactionDate,Amount,BankNameSent,BankNameReceived,RemainingBalance,City,Gender,TransactionType,Status,TransactionTime,DeviceType,PaymentMethod,MerchantName,Purpose,CustomerAge,PaymentMode,Currency,CustomerAccountNumber,MerchantAccountNumber,YearMonth,DateOnly,TransactionTime_parsed,Hour,Weekday
TXN00088,2024-05-29,99.33,HDFC Bank,ICICI Bank,9860.5,Mumbai,Male,Payment,Success,16:12:05,Tablet,Phone Number,Swiggy,Bill Payment,28,Instant,INR,123456789100,987654321100,2024-05,2024-05-29,16:12:05,16,Wednesday
TXN00092,2024-09-03,8.34,HDFC Bank,ICICI Bank,8714.16,Mumbai,Male,Payment,Success,03:35:43,Laptop,QR Code,Zomato,Travel,32,Instant,INR,123456789104,987654321104,2024-09,2024-09-03,03:35:43,3,Tuesday
TXN00103,2024-08-14,16.24,Axis Bank,Axis Bank,9723.93,Hyderabad,Female,Transfer,Success,18:29:05,Tablet,Phone Number,Swiggy,Bill Payment,43,Scheduled,GBP,123456789115,987654321115,2024-08,2024-08-14,18:29:05,18,Wednesday
TXN00108,2024-01-19,11.92,HDFC Bank,ICICI Bank,6758.73,Mumbai,Male,Payment,Success,15:49:33,Mobile,UPI ID,Swiggy,Bill Payment,48,Instant,INR,123456789120,987654321120,2024-01,2024-01-19,15:49:33,15,Friday
TXN00128,2024-09-09,11.56,HDFC Bank,ICICI Bank,5605.45,Mumbai,Male,Payment,Success,11:05:41,Laptop,QR Code,Swiggy,Bill Payment,28,Instant,INR,123456789140,987654321140,2024-09,2024-09-09,11:05:41,11,Monday
TXN00157,2024-02-08,37.61,SBI Bank,HDFC Bank,7008.46,Delhi,Female,Transfer,Success,23:58:36,Tablet,Phone Number,Zomato,Travel,57,Scheduled,USD,123456789169,987654321169,2024-02,2024-02-08,23:58:36,23,Thursday
TXN00160,2024-05-11,167.64,HDFC Bank,ICICI Bank,8918.67,Mumbai,Male,Payment,Failed,05:20:27,Tablet,Phone Number,Flipkart,Shopping,20,Instant,INR,123456789172,987654321172,2024-05,2024-05-11,05:20:27,5,Saturday
TXN00186,2024-07-07,120.4,ICICI Bank,SBI Bank,1583.18,Bangalore,Male,Payment,Success,20:48:29,Mobile,UPI ID,Amazon,Food,46,Instant,EUR,123456789198,987654321198,2024-07,2024-07-07,20:48:29,20,Sunday
TXN00200,2024-09-21,5.98,HDFC Bank,ICICI Bank,4624.86,Mumbai,Male,Payment,Failed,06:46:43,Laptop,QR Code,Flipkart,Shopping,20,Instant,INR,123456789212,987654321212,2024-09,2024-09-21,06:46:43,6,Saturday
TXN00209,2024-06-30,35.38,SBI Bank,HDFC Bank,1697.92,Delhi,Female,Transfer,Success,16:46:23,Laptop,QR Code,IRCTC,Others,29,Scheduled,USD,123456789221,987654321221,2024-06,2024-06-30,16:46:23,16,Sunday
TXN00215,2024-12-06,29.18,Axis Bank,Axis Bank,7176.53,Hyderabad,Female,Transfer,Failed,05:15:06,Laptop,QR Code,Flipkart,Shopping,35,Scheduled,GBP,123456789227,987654321227,2024-12,2024-12-06,05:15:06,5,Friday
TXN00232,2024-05-23,122.5,HDFC Bank,ICICI Bank,7566.7,Mumbai,Male,Payment,Success,15:16:24,Tablet,Phone Number,Zomato,Travel,52,Instant,INR,123456789244,987654321244,2024-05,2024-05-23,15:16:24,15,Thursday
TXN00238,2024-11-29,48.7,ICICI Bank,SBI Bank,5156.78,Bangalore,Male,Payment,Success,06:25:01,Tablet,Phone Number,Swiggy,Bill Payment,58,Instant,EUR,123456789250,987654321250,2024-11,2024-11-29,06:25:01,6,Friday
TXN00241,2024-02-02,44.24,SBI Bank,HDFC Bank,9177.96,Delhi,Female,Transfer,Success,07:44:52,Tablet,Phone Number,Amazon,Food,21,Scheduled,USD,123456789253,987654321253,2024-02,2024-02-02,07:44:52,7,Friday
TXN00243,2024-04-04,183.21,Axis Bank,Axis Bank,5632.9,Hyderabad,Female,Transfer,Success,22:37:26,Mobile,UPI ID,Swiggy,Bill Payment,23,Scheduled,GBP,123456789255,987654321255,2024-04,2024-04-04,22:37:26,22,Thursday
TXN00251,2024-12-12,98.47,Axis Bank,Axis Bank,8250.89,Hyderabad,Female,Transfer,Success,08:11:25,Laptop,QR Code,Amazon,Food,31,Scheduled,GBP,123456789263,987654321263,2024-12,2024-12-12,08:11:25,8,Thursday
TXN00271,2024-08-02,129.17,Axis Bank,Axis Bank,7148.99,Hyderabad,Female,Transfer,Success,01:46:05,Tablet,Phone Number,Amazon,Food,51,Scheduled,GBP,123456789283,987654321283,2024-08,2024-08-02,01:46:05,1,Friday
TXN00637,2024-02-08,79.07,SBI Bank,HDFC Bank,6043.78,Delhi,Female,Transfer,Success,01:38:19,Tablet,Phone Number,Zomato,Travel,57,Scheduled,USD,123456789649,987654321649,2024-02,2024-02-08,01:38:19,1,Thursday
TXN00638,2024-03-09,151.16,ICICI Bank,SBI Bank,2820.65,Bangalore,Male,Payment,Success,10:39:38,Laptop,QR Code,Swiggy,Bill Payment,58,Instant,EUR,123456789650,987654321650,2024-03,2024-03-09,10:39:38,10,Saturday
TXN00642,2024-07-13,126.04,ICICI Bank,SBI Bank,2716.67,Bangalore,Male,Payment,Success,20:10:43,Mobile,UPI ID,Zomato,Travel,22,Instant,EUR,123456789654,987654321654,2024-07,2024-07-13,20:10:43,20,Saturday
TXN00643,2024-08-14,61.76,Axis Bank,Axis Bank,6519.98,Hyderabad,Female,Transfer,Success,09:50:29,Tablet,Phone Number,Swiggy,Bill Payment,23,Scheduled,GBP,123456789655,987654321655,2024-08,2024-08-14,09:50:29,9,Wednesday
TXN00650,2024-03-21,154.46,ICICI Bank,SBI Bank,166.26,Bangalore,Male,Payment,Failed,06:03:53,Laptop,QR Code,Flipkart,Shopping,30,Instant,EUR,123456789662,987654321662,2024-03,2024-03-21,06:03:53,6,Thursday
TXN00667,2024-08-08,59.13,Axis Bank,Axis Bank,3304.1,Hyderabad,Female,Transfer,Success,20:04:38,Tablet,Phone Number,Zomato,Travel,47,Scheduled,GBP,123456789679,987654321679,2024-08,2024-08-08,20:04:38,20,Thursday
TXN00669,2024-10-10,98.3,SBI Bank,HDFC Bank,9512.37,Delhi,Female,Transfer,Success,12:29:35,Mobile,UPI ID,IRCTC,Others,49,Scheduled,USD,123456789681,987654321681,2024-10,2024-10-10,12:29:35,12,Thursday
TXN00706,2024-11-17,65.45,ICICI Bank,SBI Bank,1760.48,Bangalore,Male,Payment,Success,15:48:00,Tablet,Phone Number,Amazon,Food,46,Instant,EUR,123456789718,987654321718,2024-11,2024-11-17,15:48:00,15,Sunday
TXN00711,2024-04-22,175.69,Axis Bank,Axis Bank,3388.94,Hyderabad,Female,Transfer,Success,08:30:02,Mobile,UPI ID,Amazon,Food,51,Scheduled,GBP,123456789723,987654321723,2024-04,2024-04-22,08:30:02,8,Monday
TXN00718,2024-11-29,155.0,ICICI Bank,SBI Bank,7223.95,Bangalore,Male,Payment,Success,14:15:35,Tablet,Phone Number,Swiggy,Bill Payment,58,Instant,EUR,123456789730,987654321730,2024-11,2024-11-29,14:15:35,14,Friday
TXN00723,2024-04-04,92.43,Axis Bank,Axis Bank,1999.5,Hyderabad,Female,Transfer,Success,18:04:32,Mobile,UPI ID,Swiggy,Bill Payment,23,Scheduled,GBP,123456789735,987654321735,2024-04,2024-04-04,18:04:32,18,Thursday
TXN00734,2024-03-15,191.58,ICICI Bank,SBI Bank,5439.96,Bangalore,Male,Payment,Success,00:40:00,Laptop,QR Code,IRCTC,Others,34,Instant,EUR,123456789746,987654321746,2024-03,2024-03-15,00:40:00,0,Friday
TXN00752,2024-09-03,121.02,HDFC Bank,ICICI Bank,380.99,Mumbai,Male,Payment,Success,07:10:37,Laptop,QR Code,Zomato,Travel,52,Instant,INR,123456789764,987654321764,2024-09,2024-09-03,07:10:37,7,Tuesday
TXN00760,2024-05-11,118.58,HDFC Bank,ICICI Bank,7691.28,Mumbai,Male,Payment,Failed,01:38:09,Tablet,Phone Number,Flipkart,Shopping,20,Instant,INR,123456789772,987654321772,2024-05,2024-05-11,01:38:09,1,Saturday
TXN00771,2024-04-22,187.34,Axis Bank,Axis Bank,24.55,Hyderabad,Female,Transfer,Success,04:31:42,Mobile,UPI ID,Amazon,Food,31,Scheduled,GBP,123456789783,987654321783,2024-04,2024-04-22,04:31:42,4,Monday
TXN00773,2024-06-24,120.07,SBI Bank,HDFC Bank,9338.77,Delhi,Female,Transfer,Success,07:10:50,Laptop,QR Code,Swiggy,Bill Payment,33,Scheduled,USD,123456789785,987654321785,2024-06,2024-06-24,07:10:50,7,Monday
TXN00797,2024-06-18,196.48,SBI Bank,HDFC Bank,9368.76,Delhi,Female,Transfer,Success,22:49:26,Laptop,QR Code,Zomato,Travel,57,Scheduled,USD,123456789809,987654321809,2024-06,2024-06-18,22:49:26,22,Tuesday
TXN00818,2024-03-09,179.06,ICICI Bank,SBI Bank,6117.33,Bangalore,Male,Payment,Success,23:06:21,Laptop,QR Code,Swiggy,Bill Payment,38,Instant,EUR,123456789830,987654321830,2024-03,2024-03-09,23:06:21,23,Saturday
TXN00824,2024-09-15,106.35,HDFC Bank,ICICI Bank,4499.39,Mumbai,Male,Payment,Success,22:40:03,Laptop,QR Code,IRCTC,Others,44,Instant,INR,123456789836,987654321836,2024-09,2024-09-15,22:40:03,22,Sunday
TXN00825,2024-10-16,121.05,SBI Bank,HDFC Bank,2768.06,Delhi,Female,Transfer,Failed,10:33:59,Mobile,UPI ID,Flipkart,Shopping,45,Scheduled,USD,123456789837,987654321837,2024-10,2024-10-16,10:33:59,10,Wednesday
TXN00826,2024-11-17,6.58,ICICI Bank,SBI Bank,5550.66,Bangalore,Male,Payment,Success,05:37:06,Tablet,Phone Number,Amazon,Food,46,Instant,EUR,123456789838,987654321838,2024-11,2024-11-17,05:37:06,5,Sunday
TXN00835,2024-08-26,154.98,Axis Bank,Axis Bank,748.95,Hyderabad,Female,Transfer,Failed,05:22:49,Tablet,Phone Number,Flipkart,Shopping,55,Scheduled,GBP,123456789847,987654321847,2024-08,2024-08-26,05:22:49,5,Monday
TXN00838,2024-11-29,60.48,ICICI Bank,SBI Bank,7493.37,Bangalore,Male,Payment,Success,17:46:11,Tablet,Phone Number,Swiggy,Bill Payment,58,Instant,EUR,123456789850,987654321850,2024-11,2024-11-29,17:46:11,17,Friday
TXN00841,2024-02-02,69.1,SBI Bank,HDFC Bank,1662.47,Delhi,Female,Transfer,Success,14:23:16,Tablet,Phone Number,Amazon,Food,21,Scheduled,USD,123456789853,987654321853,2024-02,2024-02-02,14:23:16,14,Friday
TXN00842,2024-03-03,59.42,ICICI Bank,SBI Bank,4803.09,Bangalore,Male,Payment,Success,01:05:47,Laptop,QR Code,Zomato,Travel,22,Instant,EUR,123456789854,987654321854,2024-03,2024-03-03,01:05:47,1,Sunday
TXN00845,2024-06-06,1.55,SBI Bank,HDFC Bank,8506.77,Delhi,Female,Transfer,Failed,02:38:21,Laptop,QR Code,Flipkart,Shopping,25,Scheduled,USD,123456789857,987654321857,2024-06,2024-06-06,02:38:21,2,Thursday
TXN00851,2024-12-12,160.93,Axis Bank,Axis Bank,6228.43,Hyderabad,Female,Transfer,Success,22:21:15,Laptop,QR Code,Amazon,Food,31,Scheduled,GBP,123456789863,987654321863,2024-12,2024-12-12,22:21:15,22,Thursday
TXN00855,2024-04-16,0.63,Axis Bank,Axis Bank,4861.69,Hyderabad,Female,Transfer,Failed,07:20:08,Mobile,UPI ID,Flipkart,Shopping,35,Scheduled,GBP,123456789867,987654321867,2024-04,2024-04-16,07:20:08,7,Tuesday
TXN00858,2024-07-19,181.17,ICICI Bank,SBI Bank,6808.18,Bangalore,Male,Payment,Success,03:24:09,Mobile,UPI ID,Swiggy,Bill Payment,38,Instant,EUR,123456789870,987654321870,2024-07,2024-07-19,03:24:09,3,Friday
TXN00864,2024-01-25,185.31,HDFC Bank,ICICI Bank,966.38,Mumbai,Male,Payment,Success,09:40:54,Mobile,UPI ID,IRCTC,Others,44,Instant,INR,123456789876,987654321876,2024-01,2024-01-25,09:40:54,9,Thursday
TXN00865,2024-02-26,127.71,SBI Bank,HDFC Bank,1136.22,Delhi,Female,Transfer,Failed,19:00:04,Tablet,Phone Number,Flipkart,Shopping,45,Scheduled,USD,123456789877,987654321877,2024-02,2024-02-26,19:00:04,19,Monday
TXN00867,2024-04-28,194.48,Axis Bank,Axis Bank,8066.52,Hyderabad,Female,Transfer,Success,00:14:07,Mobile,UPI ID,Zomato,Travel,47,Scheduled,GBP,123456789879,987654321879,2024-04,2024-04-28,00:14:07,0,Sunday
TXN00883,2024-08-14,169.53,Axis Bank,Axis Bank,7798.41,Hyderabad,Female,Transfer,Success,08:50:27,Tablet,Phone Number,Swiggy,Bill Payment,23,Scheduled,GBP,123456789895,987654321895,2024-08,2024-08-14,08:50:27,8,Wednesday
TXN00889,2024-02-20,174.51,SBI Bank,HDFC Bank,1255.81,Delhi,Female,Transfer,Success,21:38:19,Tablet,Phone Number,IRCTC,Others,29,Scheduled,USD,123456789901,987654321901,2024-02,2024-02-20,21:38:19,21,Tuesday
TXN00906,2024-07-07,177.13,ICICI Bank,SBI Bank,4171.83,Bangalore,Male,Payment,Success,03:17:38,Mobile,UPI ID,Amazon,Food,46,Instant,EUR,123456789918,987654321918,2024-07,2024-07-07,03:17:38,3,Sunday
TXN00922,2024-11-23,83.03,ICICI Bank,SBI Bank,4584.18,Bangalore,Male,Payment,Success,08:20:32,Tablet,Phone Number,Zomato,Travel,22,Instant,EUR,123456789934,987654321934,2024-11,2024-11-23,08:20:32,8,Saturday
TXN00933,2024-10-04,123.36,SBI Bank,HDFC Bank,7111.32,Delhi,Female,Transfer,Success,20:24:57,Mobile,UPI ID,Swiggy,Bill Payment,33,Scheduled,USD,123456789945,987654321945,2024-10,2024-10-04,20:24:57,20,Friday
TXN00938,2024-03-09,120.94,ICICI Bank,SBI Bank,7382.34,Bangalore,Male,Payment,Success,00:49:28,Laptop,QR Code,Swiggy,Bill Payment,38,Instant,EUR,123456789950,987654321950,2024-03,2024-03-09,00:49:28,0,Saturday
TXN00941,2024-06-12,78.39,SBI Bank,HDFC Bank,1935.87,Delhi,Female,Transfer,Success,02:54:55,Laptop,QR Code,Amazon,Food,41,Scheduled,USD,123456789953,987654321953,2024-06,2024-06-12,02:54:55,2,Wednesday
TXN00947,2024-12-18,164.1,Axis Bank,Axis Bank,6643.92,Hyderabad,Female,Transfer,Success,04:34:41,Laptop,QR Code,Zomato,Travel,47,Scheduled,GBP,123456789959,987654321959,2024-12,2024-12-18,04:34:41,4,Wednesday
TXN00967,2024-08-08,78.42,Axis Bank,Axis Bank,5605.27,Hyderabad,Female,Transfer,Success,23:01:51,Tablet,Phone Number,Zomato,Travel,27,Scheduled,GBP,123456789979,987654321979,2024-08,2024-08-08,23:01:51,23,Thursday
TXN00977,2024-06-18,123.53,SBI Bank,HDFC Bank,8534.01,Delhi,Female,Transfer,Success,13:02:07,Laptop,QR Code,Zomato,Travel,37,Scheduled,USD,123456789989,987654321989,2024-06,2024-06-18,13:02:07,13,Tuesday
TXN00979,2024-08-20,40.8,Axis Bank,Axis Bank,4208.96,Hyderabad,Female,Transfer,Success,01:54:31,Tablet,Phone Number,IRCTC,Others,39,Scheduled,GBP,123456789991,987654321991,2024-08,2024-08-20,01:54:31,1,Tuesday
TXN01001,2024-06-12,172.45,SBI Bank,HDFC Bank,6128.71,Delhi,Female,Transfer,Success,04:18:33,Laptop,QR Code,Amazon,Food,21,Scheduled,USD,123456790013,987654322013,2024-06,2024-06-12,04:18:33,4,Wednesday
TXN01005,2024-10-16,37.43,SBI Bank,HDFC Bank,8620.05,Delhi,Female,Transfer,Failed,18:55:00,Mobile,UPI ID,Flipkart,Shopping,25,Scheduled,USD,123456790017,987654322017,2024-10,2024-10-16,18:55:00,18,Wednesday
TXN01040,2024-09-21,157.42,HDFC Bank,ICICI Bank,5825.39,Mumbai,Male,Payment,Failed,13:13:47,Laptop,QR Code,Flipkart,Shopping,20,Instant,INR,123456790052,987654322052,2024-09,2024-09-21,13:13:47,13,Saturday
TXN01072,2024-05-23,80.7,HDFC Bank,ICICI Bank,4429.52,Mumbai,Male,Payment,Success,10:08:50,Tablet,Phone Number,Zomato,Travel,52,Instant,INR,123456790084,987654322084,2024-05,2024-05-23,10:08:50,10,Thursday
TXN01099,2024-08-20,191.78,Axis Bank,Axis Bank,7646.98,Hyderabad,Female,Transfer,Success,14:20:58,Tablet,Phone Number,IRCTC,Others,39,Scheduled,GBP,123456790111,987654322111,2024-08,2024-08-20,14:20:58,14,Tuesday
TXN01102,2024-11-23,90.73,ICICI Bank,SBI Bank,593.88,Bangalore,Male,Payment,Success,08:32:22,Tablet,Phone Number,Zomato,Travel,42,Instant,EUR,123456790114,987654322114,2024-11,2024-11-23,08:32:22,8,Saturday
TXN01109,2024-06-30,188.5,SBI Bank,HDFC Bank,9407.24,Delhi,Female,Transfer,Success,04:33:45,Laptop,QR Code,IRCTC,Others,49,Scheduled,USD,123456790121,987654322121,2024-06,2024-06-30,04:33:45,4,Sunday
TXN01122,2024-07-13,143.04,ICICI Bank,SBI Bank,6772.19,Bangalore,Male,Payment,Success,17:44:07,Mobile,UPI ID,Zomato,Travel,22,Instant,EUR,123456790134,987654322134,2024-07,2024-07-13,17:44:07,17,Saturday
TXN01135,2024-08-26,175.45,Axis Bank,Axis Bank,9887.55,Hyderabad,Female,Transfer,Failed,18:23:52,Tablet,Phone Number,Flipkart,Shopping,35,Scheduled,GBP,123456790147,987654322147,2024-08,2024-08-26,18:23:52,18,Monday
TXN01140,2024-01-01,2.76,HDFC Bank,ICICI Bank,8457.33,Mumbai,Male,Payment,Failed,20:13:53,Mobile,UPI ID,Flipkart,Shopping,40,Instant,INR,123456790152,987654322152,2024-01,2024-01-01,20:13:53,20,Monday
TXN01153,2024-02-14,30.72,SBI Bank,HDFC Bank,5452.78,Delhi,Female,Transfer,Success,04:59:35,Tablet,Phone Number,Swiggy,Bill Payment,53,Scheduled,USD,123456790165,987654322165,2024-02,2024-02-14,04:59:35,4,Wednesday
TXN01155,2024-04-16,65.58,Axis Bank,Axis Bank,1309.76,Hyderabad,Female,Transfer,Failed,14:09:51,Mobile,UPI ID,Flipkart,Shopping,55,Scheduled,GBP,123456790167,987654322167,2024-04,2024-04-16,14:09:51,14,Tuesday
TXN01157,2024-06-18,132.59,SBI Bank,HDFC Bank,9922.64,Delhi,Female,Transfer,Success,02:10:44,Laptop,QR Code,Zomato,Travel,57,Scheduled,USD,123456790169,987654322169,2024-06,2024-06-18,02:10:44,2,Tuesday
TXN01164,2024-01-25,42.61,HDFC Bank,ICICI Bank,1196.14,Mumbai,Male,Payment,Success,05:14:44,Mobile,UPI ID,IRCTC,Others,24,Instant,INR,123456790176,987654322176,2024-01,2024-01-25,05:14:44,5,Thursday
TXN01188,2024-01-19,145.89,HDFC Bank,ICICI Bank,7666.39,Mumbai,Male,Payment,Success,20:50:11,Mobile,UPI ID,Swiggy,Bill Payment,48,Instant,INR,123456790200,987654322200,2024-01,2024-01-19,20:50:11,20,Friday
TXN01205,2024-06-06,175.39,SBI Bank,HDFC Bank,7030.63,Delhi,Female,Transfer,Failed,11:02:37,Laptop,QR Code,Flipkart,Shopping,25,Scheduled,USD,123456790217,987654322217,2024-06,2024-06-06,11:02:37,11,Thursday
TXN01208,2024-09-09,147.43,HDFC Bank,ICICI Bank,7147.02,Mumbai,Male,Payment,Success,23:56:00,Laptop,QR Code,Swiggy,Bill Payment,28,Instant,INR,123456790220,987654322220,2024-09,2024-09-09,23:56:00,23,Monday
TXN01223,2024-12-24,90.28,Axis Bank,Axis Bank,7421.16,Hyderabad,Female,Transfer,Success,17:32:37,Laptop,QR Code,Swiggy,Bill Payment,43,Scheduled,GBP,123456790235,987654322235,2024-12,2024-12-24,17:32:37,17,Tuesday
TXN01236,2024-01-07,61.27,HDFC Bank,ICICI Bank,3042.48,Mumbai,Male,Payment,Success,22:14:18,Mobile,UPI ID,Amazon,Food,56,Instant,INR,123456790248,987654322248,2024-01,2024-01-07,22:14:18,22,Sunday
TXN01238,2024-03-09,100.41,ICICI Bank,SBI Bank,9372.71,Bangalore,Male,Payment,Success,00:10:06,Laptop,QR Code,Swiggy,Bill Payment,58,Instant,EUR,123456790250,987654322250,2024-03,2024-03-09,00:10:06,0,Saturday
TXN01249,2024-02-20,154.74,SBI Bank,HDFC Bank,3543.34,Delhi,Female,Transfer,Success,11:56:51,Tablet,Phone Number,IRCTC,Others,29,Scheduled,USD,123456790261,987654322261,2024-02,2024-02-20,11:56:51,11,Tuesday
TXN01253,2024-06-24,183.59,SBI Bank,HDFC Bank,3010.13,Delhi,Female,Transfer,Success,20:44:29,Laptop,QR Code,Swiggy,Bill Payment,33,Scheduled,USD,123456790265,987654322265,2024-06,2024-06-24,20:44:29,20,Monday
TXN01262,2024-03-03,128.14,ICICI Bank,SBI Bank,488.92,Bangalore,Male,Payment,Success,20:03:34,Laptop,QR Code,Zomato,Travel,42,Instant,EUR,123456790274,987654322274,2024-03,2024-03-03,20:03:34,20,Sunday
TXN01272,2024-01-13,12.54,HDFC Bank,ICICI Bank,4937.18,Mumbai,Male,Payment,Success,01:04:16,Mobile,UPI ID,Zomato,Travel,52,Instant,INR,123456790284,987654322284,2024-01,2024-01-13,01:04:16,1,Saturday
TXN01273,2024-02-14,54.05,SBI Bank,HDFC Bank,8424.88,Delhi,Female,Transfer,Success,11:22:51,Tablet,Phone Number,Swiggy,Bill Payment,53,Scheduled,USD,123456790285,987654322285,2024-02,2024-02-14,11:22:51,11,Wednesday
TXN01283,2024-12-24,46.22,Axis Bank,Axis Bank,4506.37,Hyderabad,Female,Transfer,Success,12:36:58,Laptop,QR Code,Swiggy,Bill Payment,23,Scheduled,GBP,123456790295,987654322295,2024-12,2024-12-24,12:36:58,12,Tuesday
TXN01306,2024-11-17,96.92,ICICI Bank,SBI Bank,477.14,Bangalore,Male,Payment,Success,05:44:05,Tablet,Phone Number,Amazon,Food,46,Instant,EUR,123456790318,987654322318,2024-11,2024-11-17,05:44:05,5,Sunday
TXN01309,2024-02-20,101.4,SBI Bank,HDFC Bank,2946.25,Delhi,Female,Transfer,Success,09:24:28,Tablet,Phone Number,IRCTC,Others,49,Scheduled,USD,123456790321,987654322321,2024-02,2024-02-20,09:24:28,9,Tuesday
TXN01321,2024-02-02,66.97,SBI Bank,HDFC Bank,9835.9,Delhi,Female,Transfer,Success,21:08:12,Tablet,Phone Number,Amazon,Food,21,Scheduled,USD,123456790333,987654322333,2024-02,2024-02-02,21:08:12,21,Friday
TXN01324,2024-05-05,5.29,HDFC Bank,ICICI Bank,7317.22,Mumbai,Male,Payment,Success,12:20:42,Tablet,Phone Number,IRCTC,Others,24,Instant,INR,123456790336,987654322336,2024-05,2024-05-05,12:20:42,12,Sunday
TXN01347,2024-04-28,182.24,Axis Bank,Axis Bank,5154.4,Hyderabad,Female,Transfer,Success,04:05:29,Mobile,UPI ID,Zomato,Travel,47,Scheduled,GBP,123456790359,987654322359,2024-04,2024-04-28,04:05:29,4,Sunday
TXN01350,2024-07-01,177.95,ICICI Bank,SBI Bank,3002.57,Bangalore,Male,Payment,Failed,05:33:22,Mobile,UPI ID,Flipkart,Shopping,50,Instant,EUR,123456790362,987654322362,2024-07,2024-07-01,05:33:22,5,Monday
TXN01360,2024-05-11,78.49,HDFC Bank,ICICI Bank,3813.25,Mumbai,Male,Payment,Failed,10:11:23,Tablet,Phone Number,Flipkart,Shopping,20,Instant,INR,123456790372,987654322372,2024-05,2024-05-11,10:11:23,10,Saturday
TXN01366,2024-11-17,37.07,ICICI Bank,SBI Bank,7920.68,Bangalore,Male,Payment,Success,07:11:26,Tablet,Phone Number,Amazon,Food,26,Instant,EUR,123456790378,987654322378,2024-11,2024-11-17,07:11:26,7,Sunday
TXN01369,2024-02-20,144.04,SBI Bank,HDFC Bank,2392.25,Delhi,Female,Transfer,Success,06:58:28,Tablet,Phone Number,IRCTC,Others,29,Scheduled,USD,123456790381,987654322381,2024-02,2024-02-20,06:58:28,6,Tuesday
TXN01374,2024-07-25,132.54,ICICI Bank,SBI Bank,7350.74,Bangalore,Male,Payment,Success,00:43:09,Mobile,UPI ID,IRCTC,Others,34,Instant,EUR,123456790386,987654322386,2024-07,2024-07-25,00:43:09,0,Thursday
TXN01410,2024-07-01,160.93,ICICI Bank,SBI Bank,6967.48,Bangalore,Male,Payment,Failed,15:49:12,Mobile,UPI ID,Flipkart,Shopping,30,Instant,EUR,123456790422,987654322422,2024-07,2024-07-01,15:49:12,15,Monday
TXN01417,2024-02-08,182.45,SBI Bank,HDFC Bank,5713.5,Delhi,Female,Transfer,Success,16:13:42,Tablet,Phone Number,Zomato,Travel,37,Scheduled,USD,123456790429,987654322429,2024-02,2024-02-08,16:13:42,16,Thursday
